termino,codigo,bloque,forma_del_nombre
rojo allura,E129,sinteticos,nombre_tecnico
rojo fd&c40,E129,sinteticos,numero_codigo
rojo no. 40,E129,sinteticos,numero_codigo
rojo coccin,E129,sinteticos,nombre_tecnico
verde japon,E143,sinteticos,nombre_tecnico
verde fd&c3,E143,sinteticos,numero_codigo
verde no. 3,E143,sinteticos,numero_codigo
amarillo 2g,E107,sinteticos,numero_codigo
rojo carmin,E120,naturales,nombre_tecnico
antocianina,E163,naturales,nombre_tecnico
ficocianina,SPIRULINA,naturales,nombre_tecnico
tartrazina,E102,sinteticos,nombre_tecnico
amarillo 5,E102,sinteticos,numero_codigo
amarillo 6,E110,sinteticos,numero_codigo
rojo d&c 5,E122,sinteticos,numero_codigo
azorrubina,E122,sinteticos,nombre_tecnico
carmoisina,E122,sinteticos,nombre_tecnico
ponceau 4r,E124,sinteticos,nombre_tecnico
rojo no. 3,E127,sinteticos,numero_codigo
eritrosina,E127,sinteticos,nombre_tecnico
rojo curry,E129,sinteticos,nombre_tecnico
allura red,E129,sinteticos,nombre_tecnico
indigotina,E132,sinteticos,nombre_tecnico
azul no. 2,E132,sinteticos,numero_codigo
azul no. 1,E133,sinteticos,numero_codigo
cochinilla,E120,naturales,nombre_comun_planta
clorofilas,E140,naturales,nombre_tecnico
capsantina,E160c,naturales,nombre_tecnico
betalainas,E162,naturales,nombre_tecnico
enocianina,E163,naturales,nombre_tecnico
espirulina,SPIRULINA,naturales,nombre_comun_planta
rojo d&c6,E124,sinteticos,numero_codigo
curcumina,E100,naturales,nombre_tecnico
clorofila,E140,naturales,nombre_tecnico
carotenos,E160a,naturales,nombre_comun_planta
norbixina,E160b,naturales,nombre_tecnico
betalaina,E162,naturales,nombre_tecnico
ci 19140,E102,sinteticos,numero_codigo
ci 15985,E110,sinteticos,numero_codigo
ci 14720,E122,sinteticos,numero_codigo
ci 16255,E124,sinteticos,numero_codigo
ci 45430,E127,sinteticos,numero_codigo
ci 16035,E129,sinteticos,numero_codigo
ci 73015,E132,sinteticos,numero_codigo
ci 42090,E133,sinteticos,numero_codigo
carmines,E120,naturales,nombre_tecnico
ci 75470,E120,naturales,numero_codigo
caroteno,E160a,naturales,nombre_comun_planta
licopeno,E160d,naturales,nombre_tecnico
betanina,E162,naturales,nombre_tecnico
caramelo,E150,fuera_de_eje,nombre_tecnico
rojo 40,E129,sinteticos,numero_codigo
verde s,E142,sinteticos,nombre_tecnico
verde 3,E143,sinteticos,numero_codigo
curcuma,E100,naturales,nombre_comun_planta
annatto,E160b,naturales,nombre_comun_planta
atsuete,E160b,naturales,nombre_tecnico
achiote,E160b,naturales,nombre_comun_planta
paprika,E160c,naturales,nombre_comun_planta
luteina,E161b,naturales,nombre_tecnico
hibisco,E163,naturales,nombre_comun_planta
azafran,E164,naturales,nombre_tecnico
rojo 6,E124,sinteticos,numero_codigo
rojo 3,E127,sinteticos,numero_codigo
azul 2,E132,sinteticos,numero_codigo
azul 1,E133,sinteticos,numero_codigo
carmin,E120,naturales,nombre_tecnico
bixina,E160b,naturales,nombre_tecnico
e 102,E102,sinteticos,numero_codigo
e 110,E110,sinteticos,numero_codigo
e 129,E129,sinteticos,numero_codigo
urucu,E160b,naturales,nombre_tecnico
e 150,E150,fuera_de_eje,numero_codigo
e150c,E150,fuera_de_eje,numero_codigo
e150a,E150,fuera_de_eje,numero_codigo
e150d,E150,fuera_de_eje,numero_codigo
e150b,E150,fuera_de_eje,numero_codigo
