termino,codigo,bloque,forma_v1_parche15,forma_fina_v2,forma_v2,en_sinonimario_off
rojo cochinilla a,E124,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo de remolacha,E162,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,True
verde alimentos 3,E143,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
azul alimentos 1,E132,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
azul alimentos 2,E133,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
caramelo amonico,E150,fuera_de_eje,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
carmin de indigo,E132,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
caroteno natural,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
carotenos mixtos,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
curcuma en polvo,E100,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
fd&c rojo no. 40,E129,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
fd&c verde no. 3,E143,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
grana cochinilla,E120,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
oxidos de hierro,E172,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
polvo de betabel,E162,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
rojo alimentos 3,E122,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
rojo alimentos 7,E124,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
acido carminico,E120,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
amarillo fd&c 5,E102,sinteticos,numero_codigo,designacion_fdc,numero_codigo,True
amarillo fd&c 6,E110,sinteticos,numero_codigo,designacion_fdc,numero_codigo,True
amarillo num. 5,E102,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
extracto de uva,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
fd&c amarillo 5,E102,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
fd&c azul no. 1,E133,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
fd&c azul no. 2,E132,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
fd&c rojo no. 3,E127,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
jugo de betabel,E162,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
negro brillante,E151,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
oxido de hierro,E172,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo de betabel,E162,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
verde natural 3,E140,naturales,numero_codigo,indice_de_color,numero_codigo,False
amarillo fd&c5,E102,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
amarillo no. 5,E102,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
amarillo no. 6,E110,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
amarillo ocaso,E110,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
azul brillante,E133,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
color caramelo,E150,fuera_de_eje,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo natural 4,E120,naturales,numero_codigo,indice_de_color,numero_codigo,False
rojo remolacha,E162,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,True
azafran indio,E100,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
azul de jagua,E183,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
beta caroteno,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
conchita azul,E163,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
sunset yellow,E110,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
anaranjado 3,E160b,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
antocianinas,E163,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
azul patente,E131,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
betacaroteno,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,True
cantaxantina,E161g,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
capsorrubina,E160c,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
fd&c rojo 40,E129,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
rojo betabel,E162,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
rojo ponceau,E124,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
verde rapido,E143,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
amarillo 2g,E107,sinteticos,numero_codigo,designacion_fdc,numero_codigo,True
antocianina,E163,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
ficocianina,SPIRULINA,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
rojo allura,E129,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo carmin,E120,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
rojo coccin,E129,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
rojo fd&c40,E129,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
rojo no. 40,E129,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
verde fd&c3,E143,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
verde japon,E143,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
verde no. 3,E143,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
allura red,E129,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
amarillo 5,E102,sinteticos,numero_codigo,designacion_fdc,numero_codigo,True
amarillo 6,E110,sinteticos,numero_codigo,designacion_fdc,numero_codigo,True
azorrubina,E122,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
azul no. 1,E133,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
azul no. 2,E132,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
betalainas,E162,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
capsantina,E160c,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
carmoisina,E122,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
clorofilas,E140,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
cochinilla,E120,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,True
enocianina,E163,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
eritrosina,E127,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
espirulina,SPIRULINA,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
indigotina,E132,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
ponceau 4r,E124,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo curry,E129,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
rojo d&c 5,E122,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
rojo no. 3,E127,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
tartrazina,E102,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
betalaina,E162,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
carotenos,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
clorofila,E140,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
curcumina,E100,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
