code,nombre,solo_en_texto,en_tags,ingredientes_texto
7501040098642,Yoghurt batido doble cero ciruela pasa,['E133'],"['E102', 'E110', 'E129']","Leche Descremada Pasteurizada Estandarizada, Preparado de Fruta 15% (Ciruela Pasa (20%), Fibra Soluble, maltodextrina, Almidón modificado, Saborizante Artificial de Ciruela Pasa, Colorantes (Rojo 40, Azul 1, Amarillo 5 y Amarillo 6), Pectina, Sorbato de Potasio y Acido citrico), Leche Descremada Rehidratada, Almidón modificado, Saborizante natural, Lactasa, Sucralosa (7mg/100g), Acesulfame k (4mg/100g), Cultivos lácticos y Cultivos probióticos. Contiene<span class=""allergen"">: Leche</span> Puede Contener: Gluten (<span class=""allergen"">Trigo</span>), <span class=""allergen"">Nueces</span>. Contiene 0% Grasa de Leche. ""Contiene Azúcares Propios de la Lecheyde la Cupa"
7501018319441,Rigatoni De Luigi,['E101'],[],"sémola de trigo, hierro, niacina, vitamina B1 (tiamina), vitamina B2 (riboflavina), ácido fólico (folacina)"
7501000398409,Chips Jalapeño,"['E102', 'E110']",[],"PAPA NATURAL, ACEITE VEGETAL, SAZONADOR (MALTODEXTRINA, SAL YODADA, GMS, DIACETATO SODICO, AJO Y CEBOLLA EN POLVO, SOLIDOS DE LA LECHE, AZÚCAR, ÁCIDO CÍTRICO, SABORIZANTE NATURAL E IDÉNTICO AL NATURAL, LACA AMARILLO 5 Y AMARILLO 6), EXTRACTO DE LEVADURA, GUANILATO E INOSINATO DE SODIO, CASEINATO, MONOFOSFATO DIPOTÁSICO, MONOESTEARINA Y BHA)."
7502233117768,Golden Fit chocolate,"['E101', 'E170']","['E102', 'E110', 'E129', 'E133']","Trigo integral (40% ), harina de arroz (23%), sólidos de maíz (13%), azúcar, trocitos sabor chocolate (azúcar, grasa vegetal hidrogenada, cocoa, glucosa, <span class=""allergen"">lecitina de soya</span> (como emulsificante), sal yodada y saborizante idéntico al natural (vainillina) (8% min), salvado de trigo (3%), extracto de malta, sal yodada maltodextrina, jarabe de maiz alto en fructosa, color caramelo clase V, carbonato de calcio (antiaglutinante), aceite vegetal parcialmente hidrogenado, cacao, fosfato trisódico (antioxidante), saborizante artificial a choco-vainilla, sulfato de zinc (zinc), ortofosfato férrico (hierro), sucralosa (edulcorante 7mg /100g), rojo allura AC (FD&C rojo 40 colorante), amarillo Ocaso (FD&C amarillo No. 6 colorante), azul brillante FCF (FD&C azul No.1 colorante), tartrazina (FD&C amarillo No. 5 colorante), BHT (antioxidante), niacina (vitamina B3), ácido pantoténico (vitamina B5), clorhidrato de piridoxina (vitamina B6), riboflavina (vitamina B2), mononitrato de tiamina (vitamina B1), Palmitato de retinol (vitamina A), ácido fólico, cobalamina (vitamina B12)"
0869774000124,"Maika, Veggie Burger, Carrot Orange","['E160a', 'E160b']",[],"ZANAHORIAS 30%, COLIFLOR 10%, ACEITE VEGETAL DE CANOLA, ARROZ, AGUA, PREPARACIÓN VEGETA - RIANA IMITACION DE QUES025% ( AGUA FILTRADA, ALMIDON DE TAPIOCA, ACEITE VEGETAL (DE COCO Y/O DE GIRASOL), MALTODEXTRINADE TAPIOCA, PROTEINA DE CHICHAROS 0,25 % , HIDROLIZADO DE LEVADURA, SAL, CARRAGENINA, SABORIZAN TES NATURALES VEGETARIANOS, ACIDO LACTICO (VEGETARIA NO), ANNATO NORBIXINA), CEBOLLAS, MAIZ DULCE, COPOS DE PAPA, GOMA CELULOSA, SAL MARINA, LECITINA DE GIRASOL (HELIANTHUSANNUUS), DEXTROSA, PIMIENTA BLANCA, NUEZ MOSCADA, BETA CAROTENO."
7501791629409,Imitación de salsa inglesa,['E102'],[],"Ingredientes: agua, azúcares añadidos (jarabe de alta fructosa y dextrosa), ácido acético, sal yodada, proteína vegetal hidrolizada de maíz y soya, color caramelo clase IV, saborizante natural, benzoato de sodio, saborizante artificial y color amarillo 5 (tartrazina). CONTIENE: SOYA, SULFITOS, AMARILLO 5 TARTRAZINA)"
7501008019436,Coco Krispis,"['E127', 'E133', 'E170']","['E110', 'E129']","Arroz, azúcar, cocoa, maltodextrina, extracto de malta, sal yodada, aceite vegetal, saborizantes artificiales (melaza, vainilla), colorantes artificiales (amarillo 6, azul 1, rojo 3, rojo 40), tocoferoles en mezcla (antioxidante), Carbonato de calcio (calcio), ascorbato de sodio (vitamina C), hierro reducido, óxido de zinc, alfa-tocoferol acetato (vitamina E), palmitato (vitamina A), cianocobalamina (vitamina B12), colecalciferol (vitamina D), ácido fólico"
7501039400807,Boing Tradicional bebida de pulpa de Mango,"['E120', 'E160a']",[],"Agua, pulpa de mango, azúcar, ácido cítrico, sorbitol, lecitina, colorantes naturales (Carmín y Beta, beta-caroteno), eritorbato de sodio como antioxidante, 0,03% de benzoato de sodio y 0,005% de sorbato de potasio como conservadores, vitaminas A (equivalentes de Retinol), B1 (Tiamina) y C (Ácido ascórbico), calcio y hierro."
7501055363346,Ades ALMENDRA,['E170'],[],"AGUA, PASTA DE ALMENDRA, MALTODEXTRINA, CARBONATO DE CALCIO, SABORIZANTE, LECITINA DE GIRASOL, SAL YODADA, GOMA XANTANA, GOMA GELLANA, ZINC, VITAMINA E, VITAMINA  A, VITAMINA  D2, VITAMINA  B6, VITAMINA B12, ÁCIDO FÓLICO."
7503023807159,Botana de Queso Jalapeño,"['E101', 'E160c']",[],"Queso Jalapeño (40% mín) [Mezcla de quesos Americano y Suizo (Leche, Sal, Cultivos Lácticos, Enzimas), Trozos de Chile Jalapeño (Chile Jalapeño, Sal, Vinagre, Cloruro de Calcio, Sorbato de Potasio (Conservante)), Crema, Fosfato de Sodio (Regulador de acidéz), Sal, Ácido Sórbico (Conservante)], Harina de Trigo Enriquecida (Harina de Trigo, Niacina, Sulfato Ferroso, Hierro Reducido, Mononitrato de Tiamina, Riboflavina, Acido Fólico), Harina de Trigo Blanqueada Enriquecida (Harina de Trigo, Niacina, Hierro Reducido, Mononitrato de Tiamina, Riboflavina, Ácido Fólico), Almidón de papa, Harina de Trigo, Contiene menos del 2% de Dextrosa, Sal Yodada, Agentes Leudantes (Pirofosfato Ácido de Sodio, Bicarbonato de Sodio, Fosfato Monocálcico), Saborizante Natural, Oleorresina de Paprika (Color), Sal, Aceite Vegetal, Especias, Azúcar, Sólidos de la Leche, Levadura. T"
