termino,codigo,bloque,forma
antocianina,E163,naturales,nombre_sustancia
ficocianina,SPIRULINA,naturales,nombre_sustancia
rojo allura,E129,sinteticos,nombre_sustancia
rojo carmin,E120,naturales,nombre_sustancia
rojo coccin,E129,sinteticos,nombre_sustancia
rojo fd&c40,E129,sinteticos,nombre_sustancia
rojo no. 40,E129,sinteticos,nombre_sustancia
verde fd&c3,E143,sinteticos,nombre_sustancia
verde japon,E143,sinteticos,nombre_sustancia
verde no. 3,E143,sinteticos,nombre_sustancia
allura red,E129,sinteticos,nombre_sustancia
amarillo 5,E102,sinteticos,nombre_sustancia
amarillo 6,E110,sinteticos,nombre_sustancia
azorrubina,E122,sinteticos,nombre_sustancia
azul no. 1,E133,sinteticos,nombre_sustancia
azul no. 2,E132,sinteticos,nombre_sustancia
betalainas,E162,naturales,nombre_sustancia
capsantina,E160c,naturales,nombre_sustancia
carmoisina,E122,sinteticos,nombre_sustancia
clorofilas,E140,naturales,nombre_sustancia
cochinilla,E120,naturales,nombre_fuente
enocianina,E163,naturales,nombre_sustancia
eritrosina,E127,sinteticos,nombre_sustancia
espirulina,SPIRULINA,naturales,nombre_fuente
indigotina,E132,sinteticos,nombre_sustancia
ponceau 4r,E124,sinteticos,nombre_sustancia
rojo curry,E129,sinteticos,nombre_sustancia
rojo d&c 5,E122,sinteticos,nombre_sustancia
rojo no. 3,E127,sinteticos,nombre_sustancia
tartrazina,E102,sinteticos,nombre_sustancia
betalaina,E162,naturales,nombre_sustancia
carotenos,E160a,naturales,nombre_sustancia
clorofila,E140,naturales,nombre_sustancia
curcumina,E100,naturales,nombre_sustancia
norbixina,E160b,naturales,nombre_sustancia
rojo d&c6,E124,sinteticos,nombre_sustancia
betanina,E162,naturales,nombre_sustancia
caramelo,E150,fuera_de_eje,nombre_sustancia
carmines,E120,naturales,nombre_sustancia
caroteno,E160a,naturales,nombre_sustancia
ci 14720,E122,sinteticos,codigo_e
ci 15985,E110,sinteticos,codigo_e
ci 16035,E129,sinteticos,codigo_e
ci 16255,E124,sinteticos,codigo_e
ci 19140,E102,sinteticos,codigo_e
ci 42090,E133,sinteticos,codigo_e
ci 45430,E127,sinteticos,codigo_e
ci 73015,E132,sinteticos,codigo_e
ci 75470,E120,naturales,codigo_e
licopeno,E160d,naturales,nombre_sustancia
achiote,E160b,naturales,nombre_fuente
annatto,E160b,naturales,nombre_fuente
atsuete,E160b,naturales,nombre_sustancia
azafran,E164,naturales,nombre_sustancia
curcuma,E100,naturales,nombre_fuente
hibisco,E163,naturales,nombre_fuente
luteina,E161b,naturales,nombre_sustancia
paprika,E160c,naturales,nombre_fuente
rojo 40,E129,sinteticos,nombre_sustancia
verde 3,E143,sinteticos,nombre_sustancia
verde s,E142,sinteticos,nombre_sustancia
azul 1,E133,sinteticos,nombre_sustancia
azul 2,E132,sinteticos,nombre_sustancia
bixina,E160b,naturales,nombre_sustancia
carmin,E120,naturales,nombre_sustancia
rojo 3,E127,sinteticos,nombre_sustancia
rojo 6,E124,sinteticos,nombre_sustancia
e 102,E102,sinteticos,codigo_e
e 110,E110,sinteticos,codigo_e
e 129,E129,sinteticos,codigo_e
e 150,E150,fuera_de_eje,codigo_e
e150a,E150,fuera_de_eje,codigo_e
e150b,E150,fuera_de_eje,codigo_e
e150c,E150,fuera_de_eje,codigo_e
e150d,E150,fuera_de_eje,codigo_e
urucu,E160b,naturales,nombre_sustancia
