code,descartados,texto
0738912022413,E100,"Agua, filete empanizado de res a la parrilla frito, picado y formado res, harina de trigo banqueada enriquecida (niacina, sulfato ferroso, mononitrato de tiamina riboflavina, acido folico, agua, contiene 2% o menos de lo siguiente: almidon modificado, sal, fosfatos de sodio, polvo de mantequilla (crema dulce, <span class=""allergen"">suero de leche</span>, crema de suero de leche), especias, clares secas de huevo, saborizante, acido lactico, polvo de mantequiila, acido citrico, almidon modificado, saborizante natural. mailtodextrina, <span class=""allergen"">gluten de trigo</span>, azucar, harina de maiz amarillo, dextrosa levadura (bicarbonato de sodio, fosfato aluminico de sodio, pirofosfato acido sodico, levadura, cebolla en polvo, alegrnerima de pimienta , mongliceridos, extracio de especia, acido citrico, suero de leche en polvo. Preparado en aceite vegetal.), mitad y mitad leche, crema), papas deshidratadas ( papas  y digliceridos, pirofosfato acido de sodio, acido citrico, frescura conservada con bisulfato de sodio, BHA y BHT) menos del 2/% de almidon modificado, solidos de leche (crema, yvgrasa de leche, leche descremada, bese de pollo (carne de pollo y concentrado de pollo. sal, azucar suero de leche seco, grasa de pollo. solidos de jarabe de maiz. extracto de levadura, Saborizante natural, acido citrico, extracto de curcuma, aceite de canola, sal. <span class=""allergen"">harina de trigo</span>, especias, ajo granulato."
0758104005987,E160a,"Agua bonafont, jugo de Mango (4%),  saborizantes (sucralosa 1,3mg/100ml), concentrado bonafont kids mango con stevia (15,3 mg/100 ml), acido citrico, acido málico,  beta-caroteno, carmin y Bisulfato de sodio.
Aditivos:"
0758104005994,E160a,"Agua bonafont, jugo de Naranja (9%), acido citrico, saborizantes, concentrado bonafont kids naranja con stevia (14,5 mg/100 ml), fibra dietetica (polidextrosa), Bisulfato de sodio y beta, beta-caroteno."
0758104006069,E160a,"Agua bonafont, jugo de Mango (4%), acido citrico, saborizantes (sucralosa 1,3mg/100ml), concentrado bonafont kids mango con stevia (15,3 mg/100 ml), fibra dietetica (polidextrosa), carmin y Bisulfato de sodio y beta, beta-caroteno y carmín."
0803810241027,E160a,"Azúcar, jarabe de glucosa, dextrosa, pasta de cacao, manteca de cacao, cacao en polvo, saborizantes artificiales, beta caroteno"
0803810241041,E160a,"Azúcar, jarabe de glucosa, dextrosa, pasta de caca manteca de cacao, cacao en polvo, saborizantes artificiales, beta caroteno"
0810990001112,E171,"Agua, azucar, pulpa de coco, monoestearato de sorbitan, polisorbato 60, sal, goma guar, goma de algarrobo, sabor artificial, dióxido de titanio. benzoato de sodio, sorbato de potasio y ácido citrico."
0855611002963,"E100,E160a","Caramelo de maíz 85 % (Jarabe de maíz, azúcar, mantequllla [crema pasteurlzada, sall, palomltas de maíz), Cublerta de aueso cheddar 13 % (acelte veqetal de palma, queso cheddar seco fleche pastaurlzada, cultivos lactlcos, enzimas], acelte vegetal de coco, solldo de la leche, sal, maltodextrina, beta caroteno, cúrcuma), sal, blcarbonato de sodio."
0869774000124,"E160a,E160b","ZANAHORIAS 30%, COLIFLOR 10%, ACEITE VEGETAL DE CANOLA, ARROZ, AGUA, PREPARACIÓN VEGETA - RIANA IMITACION DE QUES025% ( AGUA FILTRADA, ALMIDON DE TAPIOCA, ACEITE VEGETAL (DE COCO Y/O DE GIRASOL), MALTODEXTRINADE TAPIOCA, PROTEINA DE CHICHAROS 0,25 % , HIDROLIZADO DE LEVADURA, SAL, CARRAGENINA, SABORIZAN TES NATURALES VEGETARIANOS, ACIDO LACTICO (VEGETARIA NO), ANNATO NORBIXINA), CEBOLLAS, MAIZ DULCE, COPOS DE PAPA, GOMA CELULOSA, SAL MARINA, LECITINA DE GIRASOL (HELIANTHUSANNUUS), DEXTROSA, PIMIENTA BLANCA, NUEZ MOSCADA, BETA CAROTENO."
0884394000293,E160a,"Agua, Jugo de aloe vera orgànico 21% gel de aloe vera 9%, fructosa, àcido citrico, Lactato de Calcio, Saborizante Natural de piña, Acido ascorbico (vitamina C), citrato Trisodico, goma gellana, Betacaroteno"
3168930009191,E160b,"MAIZ NIXTAMALIZADO, ACEITE VEGETAL, CONDIMENTO Quesos, Almidón, Sal Yodada, Maltodextrina, Glutamato Monosódico, Especias, Saborizantes, Harina de Arroz, Chiles, Glucosa, Harina de Trigo, AÁcido Citrico, Inosinato de Sodio, Guanilato de Sodio, Aceite de Soya Parcialmente Hidrogenado, Azúcar, Peofaina Vegetal Hidrolizada de Maíz, Amarillo Ocaso FCF, Almidón Modificado, Solidos de la Leche, Tartrazina, Ácido Láctico], ACHIOTE"
7500478004706,E171,"Harina de trigo, azúcar, harina de avena de grano entero, grasa vegetal (contiene antioxidantes TBHQ, palmitato de ascorbilo y tocoferoles), hojuelas de avena de grano entero, inulina, sólidos d ela leche, fresa 1% (contiene carmín), chispa sabor yogurt 1% (contiene dióxido de titanio), emulsificantes (lecitina de soya, ésteres de propilenglicol de ácidos grasos, monoestearato de glicerilo, estearoil lactilato de sodio), mora azul 0.9%, huevo, sal yodada, saborizante, almidón, caramelo clas I"
7501000111855,E100,"ANCARES ASADOS (ASCAR DEXTROGAS LEVADURA ACEITE YASA VEGETAL EXTRACTO DE ROMERO, NANA DE LLD COME ANTRA LACTICO, PROTEINAS VEGETALES JOHOAD, VA AL MALTODEXTRI CURCUMA EXTRACTO DE ANATO CONTIENE <span class=""allergen"">GLUTEN</span>, AJONJOY PUEDE CONTENER LECHEY 152 COL SANTA MA MARCAS"
7501000112425,E171,"Harina de trigo (gluten), leche reconstruida 18%, grasa vegetal, azúcar, dextrosa, huevo, almidón modificado, grasa vegetal parcialmente hidrogenada, dioxido de titanio, propionato de calcio, lecitina de soya, harina de soya, ezimas, sal yodada, mono y diglicéridos, goma de celulosa y guar, ácido sórbico, propionato sódico, nuez moscada, estevia (2.5 mg/100 g), amarillo 5, rojo 4"
7501000112500,E171,"<span class=""allergen"">Harina de trigo</span> (<span class=""allergen"">gluten</span>), leche reconstruida 23%, grasa vegetal, azúcar, dextrosa, <span class=""allergen"">huevo</span>, almidón modificado, grasa vegetal parcialmente hidrogenada, almidón, mono y diglicéridos, <span class=""allergen"">lecitina de soya</span>, harina de soya, sal yodada, enzimas, ácido sórbico, goma celulosa, guar y xantana, saborizante artificial y natural, propionato sódico, propionato de calcio, nuez moscada, amarillo 5, rojo 40, dióxido de titanio"
7501000142705,E160b,"<span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>). MARGARINA (11%) (GRASA VEGETAL, MONO Y DIGLICÉRIDOS, ÉSTERES DE POLIGLICEROL SAL YODADA, <span class=""allergen"">LECITINA DE SOYA</span>, PROPIONATO SÓDICO, SABORIZANTE ARTIFICIAL Y NATURAL EXTRACTO DE ANNATO), AZÚCAR, <span class=""allergen"">HUEVO</span> (5%); GRASA VEGETAL PARCIALMENTE HIDROGENADA, LEVADURA, LECHE RECONSTITUIDA (2%), <span class=""allergen"">GLUTEN DE TRIGO</span>, SAL YODADA, MONO Y DIGLICÉRIDOS, PROPIONAD0 DE CALCIO, ÉSTERES DE ÁCIDO DIACETIL TARTARICO, ENZIMAS, BENZOATO DE SODIO, AMARILLO 5, ROJ0 40. PUEDE CONTENER<span class=""allergen"">: AJONJOLÍ</span>, <span class=""allergen"">NUEZ</span>, <span class=""allergen"">ALMENDRA</span>, COCO, <span class=""allergen"">CACAHUATE</span>."
7501000153800,E171,"Azúcar, leche reconstruida (20%), grasa y aceite vegetal, jarabe de maíz de alta fructosa, huevo, harina de trigo (gluten), cocoa, glicerina, almidón modificado, monoglicéridos, diglicéridos, ésteres de poliglicerol de ácidos grasos, sal yodada, jarabe de maíz, lecitina de soya, agar, monoestearato de sorbitán, sorbato potásico, saborizante artificial y natural, propionato sódico, sólidos de leche, polisorbato 60, ácido sórbico, goma xantana, maltodextrinas, alginato de sodio, CMC sódica, goma xantana, glucosa, grenetina, dióxido de titanio, goma algarrobo"
7501000316878,E171,"<span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>), AZÚCAR, LECHE RECONSTITUIDA (14%). UVA PASA (6,2%) <span class=""allergen"">HUEVO</span>, ACEITE Y GRASA VEGETAL, JARABE DE MAÍZ, LEVADURA, MONOESTEARATO DE SORBITÁN, GLUTEN DE TRIGO MARGARINA (<span class=""allergen"">LECITINA DE SOYA</span>), ALCOHOL ETÍLICO (0,5%), MONO Y DIGLICERIDOS, ESTERES DE POLIGLICEROL DE ACIDOS GRASOS, ESTEARATO DE POTASIO, GLICEROL CANELA (0,4%), SAL YODADA, AGAR, DIÓXIDO DE TITANIO. PROPIONATO DE CALCIO, ESTERES DE ÁCIDO DIACETL TARTÁRICO, ENZIMAS, EXTRACTO DE VAINILLA, ÁCIDO SÓRBICO, CELULOSA, STEVIA (2 mg/100g)."
7501003335029,E100,"Agua, viagre de alcohol de caña, semillas de mostaza, sal yodada, azúcar, cúrcuma"
7501011130975,E160b,"Cereal de maíz, aceite vegetal, condimento (maltodextrosa, sólidos de la leche, chiles, sal yodada, aceite vegetal parcialmente hidrogenado, harina de soya, <span class=""allergen"">queso</span>, saborizantes, glutamato monosódico, almidón modificado, ácido cítrico, proteina de soya, amarillo ocaso FCF, tartrazina, rojo allura AC, harina de maíz, achiote, inosinato de sodio, ácido láctico, guanilato de sodio), amarillo ocaso FCF"
7501011131064,E160b,"MAIZ NIXTAMALIZADO, ACEITE VEGETAL, CONDIMENTO Quesos, Almidón, Sal Yodada, Maltodextrina, Glutamato Monosódico, Especias, Saborizantes, Harina de Arroz, Chiles, Glucosa, Harina de Trigo, AÁcido Citrico, Inosinato de Sodio, Guanilato de Sodio, Aceite de Soya Parcialmente Hidrogenado, Azúcar, Peofaina Vegetal Hidrolizada de Maíz, Amarillo Ocaso FCF, Almidón Modificado, Solidos de la Leche, Tartrazina, Ácido Láctico], ACHIOTE"
7501011131118,E160b,"Maíz nixtamalizado, aceite vegetal, condimento (chiles, sal yodada, maltodextrina, ácido cítrico, dióxido de silicio, jugo de limón, rojo allura AC, oleorresina de capsicum, oleorresina de de paptrika saborizante), achiote."
7501011135512,"E160c,E171","TOTOPOS DE MAIZ NIXTAMALIZADO CON CHILE Y ESPECIAS, SABOR SALSA VERDE. INGREDIENTES: MAÍZ NIXTAMALIZADO, ACEITE VEGETAL (CONTIENE TBHQ), CONDIMENTO [MALTODEXTRINA, GLUTAMATO MONOSÓDICO, SAL YODADA, ESPECIAS, CHILE, AZÚCAR, DEXTROSA, TOMATE, SAL DE MAR PROTEINA VEGETAL HIDROLIZADA DE SOYA Y DE MAÍZ, ÁCIDO CÍTRICO, SABORIZANTE (CONTIENE INGREDIENTES DE HUEVO), ALMIDÓN MODIFICADO, SUERO DE LECHE, GUANILATO DE SODIO, INOSINATO DE SODIO, ACEITE VEGETAL, HIDROLIZADO DE LEVADURA, ÁCIDO ACETICO, ÁCIDO MÁLICO, DIACETATO DE SODIO, DIÓXIDO DE SILICIO, GOMA ARÁBIGA, AMARILLO OCASO FCF, LACTOSA, GOMA XANTANA, TARTRAZINA, AZUL BE LLANTE FCF, ROJO ALLURA AC, CASEJNATO DE SQDIO, SACAROSA, FLSFATO DE POTASIO, MONO Y DIGLICÉRIDOS DE ACIDOS GRASOS DIOXIDO DE TITANIO, EXTRACTO DE PAPRIKA, INDIGOTINA, BHT, ÁCIDO ASCORBICO, HIDROXIDO DE ALUMINIO, SILICATO DE CALCIO."
7501020512250,E160a,"Leche entera pasteurizada de vaca, sal yodada, cloruro de sodio, cuajo, nitrato de potasio, carotenos naturales y cultivos lácticos."
7501020512281,E160a,"Leche entera pasteurizada de vaca, sal yodada, cloruro de sodio, cuajo, nitrato de potasio, carotenos naturales, cultivos lácticos y sorbato de potasio."
7501020555226,E160b,"Leche entera pasteurizada de vaca, sal yodada, cuajo, extracto de annato y cultivos lacticos."
7501022010921,E160a,"Agua carbonatada, azucar, dextrosa, acido citrico, taurina (0394%), citrato de sodio, caramelo clase IV, benzoato de sodio, sorbato de potasio, cafeina (0.019%), saborizante identico al natural, betacaroteno, L-carnitina, inositol, niacina, pantotenato de calcio, extrato de guarana, (paullinia cupana) (0.010%), extracto de  cardo mariano (silybum marianum), piridoxina, riboflavina, cobalamina."
7501022010938,E163,"Agua carbonatada, azucar, dextrosa, taurina (0.211%),  acido citrico, acido malico, sorbato de potasio, benzoato de sodio, cafeina (0.019%), polvo de jugo de bayas de sauco (moras) saborizante identico al natural, antocianinas, niacina, pantotenato de calcio, extrato de guarana, (paullinia cupana) (0.010%), piridoxina, cobalamina."
7501023535041,E160b,"Carne de cerdo, pasta de achiote (agua, pasta de tomate, achiote y cebolla), vinagre, sal yodada, ajo y especias."
7501030454786,E160b,"<span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>), <span class=""allergen"">HUEVO</span>, AZÚCAR, JARABE DE MAÍZ, <span class=""allergen"">MANTEQUILLA</span> (7%) (GRASA BUTÍRICA, SÓLIDOS DE LA LECHE, <span class=""allergen"">LECITINA DE SOYA</span>, SAL YODADA, EXTRACTO DE ANNATO), GOMA XANTANA, GLICERINA, ACEITE VEGETAL ALMIDÓN MODIFICADO, SORBITOL (1 g/100g), MONO Y DIGLICERIDOS, ÉSTERES DE POLIGLICEROL DE ÁCIDOS GRASOS, <span class=""allergen"">LECHE</span>, SAL YODADA PROPIONATO SÓDICO, CARAMELO CLASE IV, SABORIZANTE ARTIFICIAL Y NATURAL, ALCOHOL ETÍLICO, ÁCIDO SÓRBICO, AMARILLO 5, ROJO 40, SORBATO POTÁSICO. PUEDE CONTENER: <span class=""allergen"">AJONJOLÍ</span>, <span class=""allergen"">NUEZ</span>, <span class=""allergen"">ALMENDRA</span>, COCO, <span class=""allergen"">CACAHUATE</span>."
7501030457428,E160b,"INGREDIENTES TARTAS SABOR CHABACANO: <span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>. , (30%) (FRUCTOSA, PURE DE FRUTAS (1096) (DURAZNO, MANZANA Y PINAL AZUCARYe ALMIDON, PECTINA, ALGINATO SODICO, GRASA VEGETAL, SABORIZANTE ARA SODIO, FOSFATO DE CALCI0, AMARILLO 6), AZUCAR, GRASA VEGETAL, MAR. DIGLICERIDOS, ESTERES DE POLIGLICEROL DE ACIDOS GRASOS, SAL YO ARTIFICIAL Y NATURAL, PROPIONATO SODICO, EXTRACTO DE ANNATO),<span class=""allergen"">LECHE</span>. DE SODIO, SAL YODADA LECITINA DE SOYA SABORIZANTE NATURAL CARAMO Y TOCOFEROLES ARTIFICIAL C , LECTIN HUEVO, ALMINHRU TIPO IN,TBHO PAUKT PUEDE CONTENER: AJONJOLL NUEZ, <span class=""allergen"">ALMENDRA</span>, COCO, <span class=""allergen"">CACAHUATE Y</span> </span>AMARILOs INGREDIENTES TARTAS CON MORAS: <span class=""allergen"">HARINA DE TRIGO</span> (GLUTEND, MAIZ DE ALTA FRUCTOSA, AZÚCAR, PURÉ DE FRAMBUESA(9%) PUREDE ZARZAMORA 3A ALMIDÓN, ALGINATO DE SODIO,PECTINA, ACIDO CITRICO, SABORIZANTE ARTIFICIAL CT SODIO CARAMELO TIPO IVAZLİ1), AZÚCAR, GRASA EGETALMARGARINA GRA ESTERES DE POLIGLICEROL DE ACIDOS GRASOS, SAL YODADA LECITINA DE SO RELLENO DE FRUTAS CO 18,6% PROPIONATO SODICO,EXTRACTO DE ANNATO), <span class=""allergen"">LECHE</span>, <span class=""allergen"">HUEVO</span>,ALMIDON,ESTEA LECITINA DE SOYA SABORIZANTE NATURAL CARAMELO TIPO V TBHO, PALMITAOEZGC PUEDE CONTENER: AJONJOLI NUEZ,<span class=""allergen"">ALMENDRA</span>,COCO,<span class=""allergen"">CACAHUATE</span> Y AMAL INGREDIENTES TARTAS CON FRESA:HARINA DE FRIGO (GLUTEND RELLENO DE PULPA DE MANZANA, PULPA DE FRESA TRIGO,PECTINANACİDOCTRİCO,YSABORIZANTET. MARANTAMAVALG BENZOATO DE SODIO, CMC ROJO 40), AZÜCAR, GRASA VEGETA (1%) JA DEMAZALMIDONMOOR HUEVO, ALMIDON, ESTEAROIL LACTILATO DE SODIO, SAL YODADA LECTINA CE CARAMELO TIPO IV, TBHQ PALMITATO DE ASCORBILO Y TOCOFEROLES PUEDE CONTENER: <span class=""allergen"">AJONJOLI</span>,NUEZ ALMENDRA CO CACAHUATE Y AMARIL INGREDIENTES TARTAS CON PIÑA: HARINA DE TRİ (<span class=""allergen"">GLUTEN</span>),RELLE RABE DE MAI DE ALTA FRUCTOSA, ALMIDÓN MODIFICADOJARABE DE LICERINA, FIBRA DE TRIGO, PECTINA, ACIDO CITRICO CMCGOMA XANT BENZOATO DE SODIO, SABORIZANTE ARTIFICIAL, ERITORBATO DE SODIO MARGARINA (GRASAVEGETALYLECİTINA <span class=""allergen"">DE SOYA</span> </span>MONOYDiGLCER DOS DE ANNATO, SOLIDOS DE LA LECHE), <span class=""allergen"">LECHE</span>,<span class=""allergen"">HUEVO</span>, ALMIDÓN, ESTEAROI DE SOYA SABORIZANTE NATURAL CARAMELO TIPO IV TBHO PALMITATO DE PUEDE CONTENER: AJONJOLI NUEZ ALMENDRA,COCO CACAHUATE CONSERVESE EN UN LUGAR SECO Y FRESCO"
7501030460572,E171,"<span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>), AZÚCAR, LECHE RECONSTITUIDA (20%), GRASA Y ACEITE VEGETAL, JARABE DE MAÍZ DE ALTA FRUCTOSA, <span class=""allergen"">HUEVO</span>, <span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>), COCOA, GLICERINA, ALMIDÓN MODIFICADO, MONO Y ÁCIDOS GRASOS, SAL YODADA, JARABE DE MAÍZ, <span class=""allergen"">LECITINA DE SOYA</span>, AGAR, MONOESTEARATO DE SORBITÁN, SORBATO POTÁSICO, SABORIZANTE ARTIFICIAL Y NATURAL, PROPIONATO SÓDICO, SÓLIDOS DIGLICERIDOS, ÉSTERES DE POLIGLICEROL, PROPIONATO SÓDICO, SÓLIDOS DE LA LECHE, POLISORBATO 604 SÓRBICO, GOMA XANTANA, MALTODEXTRINAS, ALGINATO DE SÓDIO, CMC SÓDICA, GLUCOSA, GRENETINA, DIÓXIDO DE TITANIO, GOMA ALGARROBO.. PUEDE CONTENER<span class=""allergen"">: AJONJOLÍ</span>, <span class=""allergen"">NUEZ</span>, <span class=""allergen"">ALMENDRA</span>, COCO, <span class=""allergen"">CACAHUATE</span> Y AMARILLO 5."
7501030461548,E171,"AZúCAR, LECHE RECONSTITUIDA (20%), GRASA Y ACEITE VEGETAL, JARABE DE MAíZ DE ALTA FRUCTOSA, HUEVO, HARINA DE TRIGO (GLUTEN), COCOA, GLICERINA, ALMIDÓN MODIFICADO, MONO Y DIGLICERIDOS, ÉSTERES DE POLIGLICEROL DE ÁCIDOS GRASOS, SAL YODADA, JARABE DE MAÍZ, LECITINA DE SOYA, AGAR, MONOESTEARATO DE SORBITÁN, SORBATO POTÁSICO, SABORIZANTE ARTIFICIAL Y NATURAL, PROPIONATO SÓDICO, SÓLIDOS DE LA LECHE, POLISORBATO 60, ÁCIDO SÓRBICO, GOMA XANTANA, MALTODEXTRINAS, ALGINATO DE SODIO, CMC SÓDICA, GLUCOSA, GRENETINA, DIÓXIDO DE TITANIO, GOMA ALGARROBO. PUEDE CONTENER: AJONJOLÍ, NUEZ, ALMENDRA, COCO, CACAHUATE Y AMARILLO 5."
7501037217162,E160b,"Achiote, condimentos, sal yodatada, vinagre, ácido cítrico, 0.1% sorbato de potasio como conservador."
