code,estrato,texto,anotador_1,anotador_2,notas
7501206901359,sintetico,"AZÚCARES AÑADIDOS (AZUCAR, GLUCOSA), GRENETINA, ACIDO CITRICO, SABORES ARTIFICIALES Y COLORANTES ARTIFICIALES AZUL, ROJO 40 Y AMARILLO 5.",,,
7737325039486,sintetico,"HARINA DE MAÍZ, ACEITE VEGETAL, SAZONADOR (SAL YODADA, MALTODEXTRINA, ÁCIDO CÍTRICO, AZÚCARES AÑADIDOS (AZÚCAR), GMS, PROTEÍNA VEGETAL (SOYA), LACA (ROJO 40, AMARILLO 6), CEBOLLA, EXTRACTO DE LEVADURA, SABORIZANTES NATURALES E IDÉNTICOS AL NATURAL, BICARBONATO DE SODIO, ACEITE VEGETAL EXTRACTO DE CHILE, INOSINATO DE SODIO, GUANILATO DE SODIO, TBHQ). CONTIENE: SOYA PUEDE CONTENERLECHE, HUEVO, GLUTEN, AMARILLO 5, CACAHUATE.",,,
7501013105735,sintetico,"Agua, Puré de Durazno de Concentrado (21%), Ácido Cítrico, Saborizante Idéntico al Natural a Durazno, Goma Xantana, Stevia (8.9 mg/100 g de producto), Sucralosa (6.1 mg/100 g de producto), Niacina (Vitamina B3), Beta Caroteno Sintético, Vitamina B6 y Vitamina B12.",,,
7501902770525,sintetico,"Isomalt (99g/100g), Saborizante Artificial, <span class=""allergen"">Lecitina de Soya</span> (como desmoldante), Sucralosa (29mg/100g), Dióxido de Titanio y Colorantes Artificiales (Tartrazina y Rojo Allura AC). 

<span class=""allergen"">CONTIENE SOYA</span>, TARTRAZINA Y <span class=""allergen"">SULFITOS</span>. 

CONTIENE ISOMALT, EL CONSUMO EXCESIVO DE ESTE EDULCORANTE PUEDE CAUSAR EFECTOS LAXANTES.",,,
7501020555783,sintetico,"Agua, fructosa, azúcar, grenetina, ácido cítrico, citrato de sodio (regulador de acidez), acesulfame K (22,7mg/100g) y estevia (11,8mg/100g) (Edulcorantes), saborizante artificial, rojo alimentos 3 (colorante), benzoato de sodio y sorbato de potasio (conservadores).",,,
7501040093432,sintetico,"<span class=""allergen"">Yoghurt</span> (Leche Descremada Pasteurizada Leche Descremada Deshidratada, Crema, Azucar Concentrado de Proteína de Leche, Acesulfame k (80mg/100g) y Cultivos Lácticos.) Preparado de Fruta 17% Blueberry 25% y Granola 8% (<span class=""allergen"">Trigo</span>, Uva Pasa y Nuez Almidón Modificado, Azúcar y/o Jarabe de Alta Fructosa Sabor Blueberry Vainilla Granola, Acido Citrico, Sorbato de Potesio, Benzoato de Sodio, Colorantes (Rojo 40 y Azul 1). Contiene 1,8% Grasa de Leche.",,,
7501011151086,sintetico,"<span class=""allergen"">HARINA DE TRIGO</span>, ACEITE VEGETAL [CHILES, SAL YODADA, MALTODEXTRINA, SABCRIZANTES NATURALES, IDÉNTICOS AL NATURALY CLORURO DE POTASIO, ÁCIDO FUMARICO, AZUCARES (DEXTROSA), ROJO ALLURA AC Y SUS LACAS, OLEOR PAPRIKA, GUANILATO DE SODIO, INOSINATO DE SODIO, SAL BICARBONATO DE SODIO, AMARILLO OCASO FCF Y SUS LAS CONTIENE <span class=""allergen"">TRIGO</span> (<span class=""allergen"">GLUTEN</span>). PUEDE CONTENER <span class=""allergen"">LECHE</span>, <span class=""allergen"">SOYA</span> Y OTROS <span class=""allergen"">CEREALES QUE CONTIENEN GLUTEN</span>.",,,
7501022014004,sintetico,"Agua Acido citrico, Saborizantes naturales y artificiales sabor Jamaica-Arándano Jugo de manzana de concentrado (1%), Aspartame / Acesulfame K (29 mg de producto 100 g), Sorbato de potasio, Citrato de sodio, Benzoato de sodio. Acido tartárico, Rojo allura AC, Niacina, Acido co, Azul brillante FCE Vitamina B6. FENILCETONURICOS: CONTENE FENILALANINA",,,
7501000606566,sintetico,"AZÚCARES AÑADIDOS (AZÚCAR), HARINA DE TRIGO, GRASA VEGETAL, COCOA, SÓLIDOS DE LA LECHE, ALMIDON SA 30RIZANTES ARTIFICIALES SALLYCUADA, COLOF ANTES (ROD ALLURA AC Y SUS LACAS, AMARILLO OCASO FCF Y SUS LACAS, INDIGOTINA LACA, TARTRAZINA, AZUL BRILLANTE FCF CARAMELO CLASE IV), EMULSIFICANT (LECITINA D SOYA) CONTIENE TRIGO (GLUTEN), LE HE Y SO A PUEDE CONTENER HUEVO NUECES DE ÁRBOLES, CACAHUATE Y OTROS CEREALES CON GLUTEN.V20",,,
7506443101968,sintetico,"Leche parcialmente descremada pasteurizada, m&M's minis® chocolates con leche confitados 10,7%: [Chocolate con leche 75% (azúcares añadidos (azúcar), pasta de cacao, leche en polvo, manteca de cacao, sólidos de la leche, grasa butírica, <span class=""allergen"">lecitina de soya</span>, sal, saborizantes artificiales y naturales); Confitado 25% (azúcares añadidos (azúcar y jarabe de maíz), azul 1, amarillo 6, amarillo 5 (tartrazina), dióxido de titanio, almidón de maíz, dextrina y cera de carnauba)], concentrado sabor vainilla 7,1% (azúcares añadidos (azúcar), almidón modificado, sabor vainilla, goma xantana, sorbato de potasio, ácido cítrico y citrato de sodio), azúcares añadidos (azúcar y sólidos de jarabe de maíz), almidón modificado, grenetina y cultivos lácticos.
*Contiene: Leche, <span class=""allergen"">soya</span> y tartrazina. Puede contener<span class=""allergen"">: Cacahuete</span>, <span class=""allergen"">almendra</span>, <span class=""allergen"">nueces</span> (pecana, de castilla, de la India), pistache, <span class=""allergen"">gluten</span> y fresa.",,,
0757528042585,sintetico,"PAPA NATURAL, ACEITE VEGETAL, SAZONADOR (SAL YODADA, MALTODEXTRINA, ÁCIDO CÍTRICO, AZÚCAR, GMS, SABORIZANTES ARTIFICIALES, NATURALES E IDÉNTICOS AL NATURAL, CEBOLLA, BICARBONATO DE SODIO, LACA ROJO 40, PROTEÍNA DE SOYA ACEITE VEGETAL, EXTRACTO DE CHILE, INOSINATO DE SODIO GUANILATO DE SODIO, TBHQ.
CONTIENE: SOYA.
PUEDE CONTENER: LECHE, HUEVO, GLUTEN, AMARILLO 5, CACAHUATE",,,
0757528031329,sintetico,"GRITS DE MAIZ, ACEITE VEGETAL, SAZONADOR (MALTODEXTRINA ACIDO CTRICO, SAL YODADA, GLUCOSA, AZUCAR, SABORIZANTES NATURALES E IDENTICOS AL NATURAL GMS GOMA ACACIA, LACA (AMARILLO 6, ROJO 40 AMARILLO 5), GUANILATO DE SODIO, INOSINATO DE SODIO EXTRACTO DE LEVADURA, AMARILLO 5), SABORIZANTES NATURALES E IDENTICOS AL NATURAL ALMIDON, ROJO 40, AMARILLO 5, AMARILLO CUNTIENE LECHE, AMARILLO 5.",,,
7502273907305,sintetico,"INGREDIENTES GELATINA: Azúcares añadidos (Azúcar], agua, ácido cítrico, polvo Konjac, cloruro de potasio, carragenina, citrato de sodio, goma xantana, saborizante artificial, dióxido de titanio, ciclamato de sodio, aspartame (0.06mg/100g), sorbato de potasio, acesulfame potásico (0.03mg/100g), beta caroteno, isoascorbato de sodio. 
INGREDIENTES DULCE EFERVESCENTE: Azúcares añadidos (azúcar y jarabe de glucosa), sólidos de leche, dióxido de carbono, ácido málico, saborizante artificial, colorantes artificiales: Tartrazina y sus lacas, Amarillo Ocaso FCF y sus lacas, Rojo Allura AC y sus lacas, Azul Brillante FCF y sus lacas. CONTIENE Lactosa (sólidos de la leche), Tartrazina y sus lacas FENILCETONURICOS: CONTIENE FENILALANINA",,,
7501017006762,sintetico,"Agua, harina de maiz nixtamalizado, azúcares añadidos (azúcar de caña), manteca vegetal ciruela pasa, almidón modificado de maiz, emulsionantes (estearoil lactilato de calcio, mono y diglicéridos, lecitina de soya, celulosa, CMC sódica), polvos para hornear (difosfato disódico, bicarbonato de sodio, almidón, carbonato de calcio), canela y colorante rojo FD&C40. CONTIENE: Soya. PUEDE CONTENER: Glutamato monosódico y apio.",,,
7500326103506,sintetico,"Agua purificada, azúcar ácido citrico, saborizantes artificiales de uva, caramelo clase IV, benzoato de Sodio como conservador, colorantes artificiales (Rojo Allura AC y Azul Brillante FCF).",,,
7501011164512,sintetico,"PAPA, ACEITE VEGETAL, CONDIMENTO [Sal yodada, sólidos de maíz, harina de trigo, maltodextrina, azúcar, chiles, aceite vegetal, ácido cítrico, especias, tomate, dextrosa, allura AC, Acido Malico, Glutamato Monosodico, saborizante [contiene ingredientes de leche), amarillo ocaso FCF, inosinato de sodio, guanilato de sodio, Tartrazina, Azul Brillante FCF, Acido acético, Goma Arabiga, Almidón Modificado]
CONTIENE INGREDIENTES DE TRIGO (GLUTEN) Y LECHE.",,,
0052100015460,sintetico,"sal, especia pimienta negra piper nigrum, maltodextrina de maíz, azúcares añadidos, ácido cítrico, cáscara de limón, almidón modificado de maíz, silicato de calcio, estearato de calcio, dióxido de silicio, aceite vegetal de limón, tartrazina y sus lacas",,,
17163834,sintetico,"ingredientes: aua, trozos de coco, azúcares añadidos (azúcar, carragenina, harina de konjag saborizantes artificiales, amarillo 5, amarillo 6, azu 7, rojo 40, ácido cítrico, citrato de sodio, acesulfame k (50mg/100g), aspartame (20mg/100g), sorbato de potasio y dióxido de titanio. fenilcetonuricos: contiene fenitalanina",,,
7500478007981,sintetico,"PAPA, ACEITE VEGETAL CONTIENE TBHQ), CONDIMENTO MALTODEXTRINA, SAL YODADA, <span class=""allergen"">SUERO DE LECHE</span>, ACEITE VEGETAL, ACIDO CITRICO, GLUTAMATO MONOSÓDICO GRASA VEGETAL SABORIZANTES (CONTIENEN INGREDIENTES DE GLUTEN (<span class=""allergen"">CEBADA</span>)), CHILE, ALMIDON MODIFICADO, HARINA DE MAIZ, JARABE DE MAIZ QUESO (0,2%), HIDROLIZADO DE LEVADURA, ÁCIDO LÁCTICO, PROTEÍNA VEGETAL HIDROLIZADA DE SOYA Y DE MAÍZ, INOSINATO DE SODIO, ESPECIAS, CLORURO DE POTASIO, CASEINATO DE SODIO, FOSFATO DE SODIO, DIOXIDO DE SILICIO, GUANILATO DE SODIO, LECHE ENTERA FERMENTADA, ACHIOTE, TARTRAZINA, AMARILLO OCASO FCF, FOSFATO DE POTASIO SILICATO DE CALCIO, CONCENTRADO DE PROTEINA LÁCTEA ACIDO FUMÁRICO, ACIDO MÁLICO, FOSFATO TRICALCICO, MANITOL (0,0004g EN 100 g DE PRODUCTO BENZOATO DE SODIO)",,,
